LATITUDE,LONGITUDE,ALTITUDE
29.319589999999998,-13.734,18948
29.32148,-13.73417,18972
29.32337,-13.73417,18992
29.32526,-13.73417,19008
29.3270625,-13.73417,19032
29.328865,-13.73417,19048
29.3306675,-13.73417,19068
29.33247,-13.73417,19088
29.3343575,-13.73417,19104
29.336244999999998,-13.73417,19120
29.3381325,-13.734,19140
29.34002,-13.733830000000001,19156
29.341907499999998,-13.73366,19168
29.343795,-13.73349,19184
29.345682500000002,-13.7333175,19204
29.34757,-13.733145,19220
29.34946,-13.732972499999999,19236
29.35135,-13.7328,19248
29.35324,-13.7326275,19264
29.35513,-13.732455,19280
29.3569325,-13.7322825,19296
29.358735,-13.73211,19312
29.3605375,-13.7317675,19328
29.36234,-13.731425000000002,19348
29.3642275,-13.731082500000001,19364
29.366115,-13.73074,19384
29.368002500000003,-13.730567500000001,19404
29.36989,-13.730395000000001,19424
29.3717775,-13.7302225,19444
29.373665000000003,-13.73005,19468
29.3755525,-13.7297075,19488
29.37744,-13.729365000000001,19508
29.3793275,-13.729022500000001,19536
29.381214999999997,-13.72868,19552
29.3831025,-13.7283375,19576
29.38499,-13.727995,19600
29.386879999999998,-13.7276525,19620
29.38877,-13.72731,19640
29.39066,-13.726965,19664
29.39255,-13.72662,19684
29.3945225,-13.726275,19708
29.396495,-13.72593,19732
29.3984675,-13.725760000000001,19752
29.40044,-13.72559,19772
29.40233,-13.72542,19792
29.404220000000002,-13.72525,19816
29.40611,-13.724905,19840
29.408,-13.72456,19868
29.4098875,-13.724215000000001,19892
29.411775,-13.72387,19920
29.4136625,-13.72387,19952
29.41555,-13.72387,19980
29.4174375,-13.72387,20012
29.419325,-13.72387,20048
29.421212500000003,-13.723700000000001,20080
29.4231,-13.72353,20116
29.42499,-13.72336,20156
29.42688,-13.72319,20196
29.42877,-13.72319,20236
29.43066,-13.72319,20280
29.4325475,-13.72319,20320
29.434435,-13.72319,20368
29.436322500000003,-13.72319,20412
29.43821,-13.72319,20460
29.4400125,-13.72319,20508
29.441815,-13.72319,20560
29.4436175,-13.72319,20608
29.44542,-13.72319,20660
29.4473075,-13.72319,20708
29.449195,-13.72319,20756
29.4510825,-13.72336,20808
29.45297,-13.72353,20856
29.4547725,-13.723700000000001,20904
29.456575,-13.72387,20952
29.4583775,-13.72387,21000
29.46018,-13.72387,21044
29.4619825,-13.72387,21092
29.463785,-13.72387,21140
29.4655875,-13.72387,21184
29.46739,-13.72387,21228
29.469192500000002,-13.72387,21268
29.470995000000002,-13.72387,21308
29.4727975,-13.72387,21348
29.4746,-13.72387,21384
29.4764025,-13.72387,21420
29.478205,-13.72387,21456
29.4800075,-13.7240425,21492
29.48181,-13.724215000000001,21524
29.4836125,-13.7243875,21556
29.485415,-13.72456,21584
29.4872175,-13.72456,21612
29.48902,-13.72456,21640
29.4908225,-13.72456,21668
29.492625,-13.72456,21692
29.4944275,-13.72456,21716
29.49623,-13.72456,21740
29.4980325,-13.72456,21760
29.499835,-13.72456,21780
29.5016375,-13.72456,21800
29.50344,-13.72456,21812
29.5052425,-13.72456,21832
29.507044999999998,-13.72456,21844
